,Timestamp,Are you openly identified at work as a person with a mental health issue?,Are you self-employed?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever discuss your mental health with your previous employer?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever discussed your mental health with coworkers?,Have you ever discussed your mental health with your employer?,Have you ever had a coworker discuss their or another coworker's mental health with you?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,"Overall, how much importance did your previous employer place on mental health?","Overall, how much importance did your previous employer place on physical health?","Overall, how much importance does your employer place on mental health?","Overall, how much importance does your employer place on physical health?","Overall, how well do you think the tech industry supports employees with mental health issues?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Was your employer primarily a tech company/organization?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,What is your gender?,What is your race?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
411,1,0,0,0,0,0,1,0,3,1,1,0,2,1,1,0,0,0,0,3,1,1,0,2,2,6,4,1,1,1,2,1,1,1,2,5,7,1,0,0,0,52,54,35,1,3,2,0,0,0,1,1,1,1
412,1,0,0,0,0,0,1,0,3,2,1,1,0,1,0,1,1,0,0,2,0,0,0,1,1,4,2,4,2,4,1,1,1,0,4,3,5,1,0,1,0,52,54,30,1,3,2,0,1,1,1,0,2,1
413,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,1,2,0,5,8,2,4,1,1,1,1,1,7,7,7,7,3,0,1,2,52,54,28,0,2,2,0,1,1,1,3,2,1
414,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,2,0,0,2,1,7,4,4,2,4,1,1,1,0,3,6,5,4,2,0,0,52,54,32,0,3,0,0,1,2,1,0,1,1
415,1,0,0,0,0,1,1,1,3,1,1,1,1,1,1,0,0,1,1,3,0,1,2,3,1,6,5,5,4,4,1,1,1,5,7,8,10,4,2,0,0,52,54,34,1,3,2,0,1,2,2,1,1,2
416,1,0,0,0,0,0,1,0,1,2,1,1,0,1,0,1,0,1,1,3,0,0,0,2,0,8,5,5,4,0,2,1,1,1,1,5,2,2,0,1,0,52,54,33,1,3,0,0,1,2,1,0,2,1
417,1,0,0,1,1,1,2,1,0,0,1,1,2,1,1,1,1,1,0,0,3,0,0,2,1,8,4,7,1,1,2,1,1,5,9,7,10,4,3,1,0,52,54,32,1,3,1,2,1,1,1,0,2,1
418,1,0,0,0,0,0,1,1,0,2,1,0,1,1,0,1,1,1,0,0,0,0,0,2,1,5,1,8,1,1,2,1,1,2,4,5,7,3,0,0,0,52,54,27,0,2,0,0,1,1,1,0,2,1
420,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,1,10,5,10,2,2,2,1,1,1,7,8,7,4,0,0,3,52,54,34,0,3,0,0,1,1,2,1,1,1
421,1,0,0,0,0,0,1,0,2,2,1,1,1,1,1,0,0,1,0,2,0,0,3,2,1,7,5,9,1,1,1,1,1,1,1,8,8,3,0,0,0,52,54,32,1,3,2,2,2,2,1,0,1,2
422,1,0,0,1,0,0,2,1,1,1,1,0,0,2,0,0,0,0,1,1,1,0,1,2,1,6,3,4,2,4,2,1,1,4,7,4,5,1,3,1,0,52,54,41,0,3,0,0,2,2,1,0,1,1
423,1,0,0,0,1,0,1,0,1,2,1,1,0,1,0,1,0,0,1,1,1,0,2,0,1,7,1,3,2,3,2,1,1,3,3,2,5,3,0,1,0,52,54,37,1,3,2,0,2,0,1,0,2,1
424,1,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,1,1,0,0,3,0,0,7,2,4,1,1,2,1,1,3,4,7,10,3,0,0,2,52,54,26,1,3,0,0,1,1,2,1,1,2
425,1,0,0,1,1,1,1,0,3,2,1,2,2,2,0,1,0,1,1,0,0,1,0,2,5,5,5,5,4,3,1,1,1,5,5,7,10,1,3,0,0,52,54,24,1,3,1,2,2,1,1,0,2,1
426,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,3,9,3,5,1,1,1,1,1,2,6,3,6,2,3,1,2,16,15,40,1,3,0,2,0,2,1,1,3,1
428,1,0,0,0,0,0,1,0,3,2,1,0,0,2,0,0,0,0,1,1,1,1,0,0,5,6,4,3,4,3,2,1,1,4,5,3,4,3,2,0,2,52,54,40,1,3,0,0,2,2,1,1,1,1
429,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,6,4,4,4,4,1,1,1,5,5,5,7,3,3,1,4,52,54,34,1,3,2,0,2,1,1,3,2,1
430,1,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0,1,1,1,1,0,1,3,0,1,1,2,2,4,2,1,0,1,1,4,8,3,0,0,4,52,54,27,0,3,0,0,2,0,2,0,1,1
432,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,3,2,3,0,1,1,9,5,10,2,3,1,1,1,1,3,4,7,3,0,1,1,52,54,39,1,3,2,2,1,1,2,0,2,1
436,1,0,0,0,0,0,1,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,3,3,5,8,5,4,1,1,2,1,1,6,6,8,6,3,0,0,0,52,54,51,0,3,1,2,1,1,2,3,3,2
438,1,0,0,1,0,1,2,2,1,2,1,0,1,1,0,0,0,1,1,1,0,1,0,3,3,5,4,5,4,3,1,1,1,5,7,6,6,2,3,0,0,52,54,37,1,3,0,0,0,2,1,0,2,1
441,1,0,0,1,0,1,2,1,1,1,1,0,1,1,2,1,0,1,1,1,2,3,0,2,1,7,2,7,2,4,2,1,1,3,6,5,6,3,2,1,0,52,54,30,1,3,1,2,2,1,1,0,2,1
442,1,0,0,0,0,0,1,0,0,1,1,2,0,2,0,0,1,0,0,0,0,0,3,1,0,10,5,7,4,4,2,1,1,0,0,5,0,2,0,1,1,52,54,27,1,3,2,2,1,1,2,1,1,2
443,1,1,0,1,0,0,0,0,1,1,1,1,2,1,2,1,1,0,1,1,0,2,3,2,3,10,1,7,2,4,2,1,1,5,8,7,8,3,0,1,2,52,54,32,1,3,2,0,1,1,2,0,2,1
444,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,3,3,5,8,5,4,2,4,2,1,1,3,9,0,0,1,0,1,4,52,54,34,1,3,2,0,0,1,1,1,0,1
445,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,2,2,10,5,7,2,4,2,1,1,2,2,6,6,3,0,1,0,52,54,35,0,3,0,0,1,1,2,0,2,1
446,1,1,0,0,1,0,1,1,1,2,1,2,0,3,0,1,0,1,1,1,3,2,3,2,1,9,2,8,2,4,2,1,1,4,6,6,7,3,2,0,4,48,50,33,2,3,0,0,1,2,1,1,2,1
447,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,8,2,8,1,1,1,1,1,7,6,9,7,3,3,1,1,21,20,32,1,3,2,0,1,0,1,0,2,1
450,1,0,0,0,0,1,2,1,0,1,1,1,1,1,0,0,0,1,0,0,3,1,0,3,2,7,2,7,1,1,2,1,1,6,6,7,7,4,2,1,0,52,54,40,1,3,2,2,1,1,1,2,3,1
451,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,2,2,0,3,0,9,4,8,2,4,2,1,1,3,7,5,5,3,2,1,4,52,54,28,2,3,0,0,2,2,1,0,1,1
453,1,1,0,1,1,1,3,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,3,5,9,4,5,3,0,1,1,1,7,7,7,7,4,3,1,4,52,54,48,1,3,1,1,1,1,2,3,3,2
455,1,0,0,0,0,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,5,4,4,1,1,2,1,1,8,10,7,7,1,0,1,2,52,54,29,1,3,2,0,2,2,1,1,2,1
457,1,0,0,0,0,1,1,0,1,1,1,1,2,1,0,1,1,0,1,1,2,0,0,0,1,10,5,5,2,2,1,1,1,0,0,4,9,4,0,1,2,52,54,34,1,3,1,0,2,2,1,3,2,1
458,1,0,0,1,0,0,2,0,3,2,1,1,2,3,0,0,0,1,1,3,0,0,1,2,0,8,1,5,2,4,2,1,0,5,5,7,8,2,0,0,0,52,54,31,0,3,0,0,2,2,1,1,1,1
459,1,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,2,3,7,4,4,1,1,2,1,1,6,8,7,7,3,3,1,4,51,53,33,1,3,2,0,1,2,2,3,2,1
462,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,3,2,1,5,1,5,4,0,2,1,1,1,5,4,8,3,0,1,0,52,54,40,0,3,0,0,2,0,1,1,1,1
463,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,0,3,2,2,8,4,6,2,2,2,1,1,0,4,5,7,1,0,1,0,52,54,46,1,3,0,0,1,2,2,1,1,1
465,1,0,0,1,1,0,0,0,0,0,1,0,2,2,1,0,0,0,1,1,1,1,0,0,1,8,4,5,3,3,2,1,1,7,9,8,8,2,0,1,2,52,54,44,0,3,2,2,2,1,2,2,2,2
466,1,0,0,0,0,0,1,0,1,2,1,0,0,2,2,0,0,0,1,1,0,0,1,0,5,8,1,6,2,4,2,1,1,4,5,5,7,3,0,1,2,52,54,35,1,3,1,0,2,2,1,1,0,1
467,1,1,0,1,1,0,2,0,1,2,1,0,0,2,0,1,1,1,1,1,2,1,0,2,1,10,5,10,2,2,2,1,1,8,7,7,7,4,0,1,0,51,53,35,1,3,2,0,1,1,2,3,3,2
468,1,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,5,4,1,7,1,1,2,1,1,8,10,8,10,2,3,1,2,52,54,30,1,3,2,2,2,2,1,1,2,1
469,1,0,0,1,1,1,1,0,0,1,1,0,2,2,0,1,0,1,1,1,3,3,0,0,1,10,5,7,1,1,1,1,1,5,5,7,7,3,0,1,2,52,54,22,0,2,0,0,1,1,1,2,2,2
470,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,3,2,1,5,0,4,1,1,2,1,1,5,5,7,7,3,0,1,0,52,54,41,1,3,0,0,2,0,1,2,1,1
471,1,0,0,1,0,0,0,0,0,0,1,0,2,2,2,0,0,1,0,0,0,1,1,0,0,5,2,4,1,1,2,1,1,4,4,4,4,3,0,1,2,52,54,32,1,3,2,2,0,2,1,2,2,2
472,1,0,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,1,0,0,1,1,3,3,1,7,5,5,1,1,2,1,1,8,8,8,8,4,0,1,4,52,54,48,1,3,1,0,2,1,1,2,2,1
473,1,0,0,1,0,0,1,0,0,1,1,2,0,1,0,1,0,0,1,1,0,3,1,0,0,9,2,6,3,3,2,1,1,0,6,0,8,2,0,1,2,16,15,32,1,3,0,0,2,0,1,2,1,1
477,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,3,2,2,2,1,5,4,0,2,3,2,1,1,0,0,4,5,2,2,1,0,52,54,37,0,3,0,0,2,0,1,2,2,1
478,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,1,1,0,2,5,10,5,10,1,1,1,1,1,5,5,0,0,3,3,1,0,52,54,30,1,3,1,0,1,1,2,3,2,1
479,1,0,0,1,0,0,1,0,3,2,1,2,0,0,0,0,0,0,1,2,3,0,0,1,1,6,3,3,2,2,0,1,1,5,7,3,7,2,0,1,1,51,53,35,0,3,0,0,2,2,1,1,1,2
480,1,0,0,1,0,1,0,1,0,2,1,0,2,1,2,1,0,1,1,0,2,1,0,2,3,9,1,6,1,1,2,1,1,5,7,5,7,2,0,1,0,52,54,37,1,3,2,2,2,2,1,2,2,1
481,1,0,0,1,1,0,1,0,3,1,1,1,0,0,0,0,1,1,1,1,2,2,3,1,0,7,2,6,2,3,1,1,1,4,9,4,5,3,3,1,4,51,53,26,1,3,2,0,1,2,1,2,2,1
482,1,0,0,1,0,1,2,2,3,1,1,1,0,1,0,0,0,1,1,3,3,0,2,3,0,9,4,5,2,3,2,1,1,7,7,3,3,3,3,1,4,52,54,50,1,3,0,0,2,2,2,1,2,1
483,1,0,0,0,0,0,2,1,3,2,1,0,0,2,0,0,0,0,0,3,0,0,2,2,5,2,4,3,1,1,2,1,1,3,4,2,2,2,0,1,3,52,54,32,1,3,0,0,0,2,1,1,0,1
484,1,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,0,1,9,5,9,1,1,1,1,1,6,6,8,8,3,3,0,2,52,54,32,1,3,0,0,1,1,2,1,2,1
485,1,0,0,1,0,1,2,1,3,1,1,0,1,2,2,1,0,1,1,1,0,3,2,2,0,6,1,2,4,4,2,1,1,7,7,4,5,3,0,0,4,52,54,40,0,6,0,0,2,0,1,1,1,1
486,1,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,1,1,3,0,4,2,3,3,1,1,2,1,1,1,2,0,0,1,0,1,2,52,54,36,1,3,2,0,2,2,1,2,2,1
487,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,1,0,1,3,1,0,1,0,3,1,5,2,4,2,1,0,0,5,5,5,3,0,0,1,52,54,24,0,3,0,0,1,2,2,2,2,1
488,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,0,0,0,0,3,3,5,5,1,6,1,1,2,1,1,7,7,7,7,2,0,1,2,52,54,29,0,3,2,2,2,1,1,2,2,1
489,1,0,0,0,0,1,2,1,0,2,1,0,2,1,0,0,0,0,0,0,1,1,3,2,0,6,1,7,1,1,2,1,1,2,8,2,6,1,0,1,0,52,54,28,1,3,2,2,1,2,1,2,3,1
490,1,0,0,0,0,0,1,2,0,1,1,0,2,2,0,0,0,1,0,0,3,1,0,0,0,5,5,6,1,1,1,1,1,5,5,5,5,3,3,1,2,52,54,36,1,3,0,0,2,1,2,3,3,2
491,1,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,3,1,0,3,0,7,4,8,1,1,1,1,1,6,8,6,6,3,3,1,0,52,54,40,1,3,2,0,2,2,1,2,2,1
492,1,0,0,0,0,0,2,1,3,2,1,0,1,1,0,0,0,0,1,1,0,3,3,2,1,2,3,2,2,4,2,1,1,5,8,5,8,3,2,1,0,6,7,39,1,3,0,0,2,0,1,1,1,1
493,1,1,0,0,1,0,1,0,0,0,1,0,2,2,2,0,0,1,0,0,3,1,0,1,1,6,4,8,2,4,2,1,1,5,4,7,6,3,0,1,3,31,31,32,0,3,2,2,2,1,2,2,2,2
495,1,0,0,0,0,0,1,0,0,1,1,0,2,2,2,0,0,0,0,0,1,1,0,0,2,7,2,7,1,1,2,1,1,4,4,5,5,4,0,1,2,52,54,39,1,3,0,0,2,1,2,2,2,1
496,1,0,0,0,0,0,1,0,2,2,1,0,2,2,0,0,0,0,0,3,1,0,0,0,0,7,3,4,4,4,2,1,1,6,7,3,6,3,0,1,2,52,54,34,1,3,2,0,2,0,1,2,2,1
497,1,0,0,0,0,0,1,0,0,1,1,2,0,2,0,0,0,0,0,0,1,3,0,0,5,7,1,5,1,1,2,1,1,5,5,5,7,3,0,1,2,15,14,30,1,3,2,0,0,2,1,1,1,1
498,1,1,0,0,0,0,3,1,1,1,1,2,0,3,0,0,1,0,1,1,1,1,0,2,5,10,5,8,2,4,2,1,1,5,10,10,10,3,1,0,0,52,54,31,1,3,0,1,1,1,2,2,2,1
499,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,3,0,1,1,3,0,7,4,3,2,2,0,1,1,0,8,4,8,2,0,1,0,52,54,28,1,3,2,0,0,0,1,1,1,1
501,1,0,0,0,0,0,1,0,2,2,1,0,2,2,2,0,0,0,1,3,1,0,2,0,3,2,0,3,1,1,2,1,1,4,6,5,7,2,0,1,2,52,54,39,1,3,2,0,0,2,1,1,2,1
502,1,0,0,1,0,1,2,1,0,1,1,0,1,1,1,1,1,1,0,0,0,3,0,3,3,6,4,5,1,1,1,1,1,0,3,4,5,3,0,1,0,52,54,45,0,3,1,0,1,1,2,2,2,1
503,1,1,0,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,0,1,0,0,3,3,8,1,6,2,3,1,1,1,6,7,8,8,2,0,1,0,52,54,36,0,3,2,2,2,2,2,2,2,1
504,1,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,0,1,1,1,0,0,2,2,2,8,4,9,2,3,2,1,1,2,2,2,2,3,0,0,0,52,54,26,1,3,2,2,1,2,2,2,2,2
505,1,0,0,0,0,1,2,1,2,2,1,0,0,2,0,0,0,1,1,2,3,1,0,2,5,5,1,5,1,1,2,1,1,5,0,5,0,2,3,0,0,52,54,55,0,3,0,0,2,1,1,2,1,2
506,1,0,0,0,0,0,1,0,3,1,1,0,0,1,0,1,0,1,1,1,1,0,2,2,3,4,1,4,4,3,2,1,1,0,6,0,8,1,0,1,0,52,54,40,2,3,0,0,2,0,2,2,2,2
509,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,3,2,2,0,7,0,5,2,0,2,1,1,0,5,0,5,2,0,1,0,52,54,34,0,3,0,0,1,1,2,2,3,2
513,1,0,0,0,0,0,2,1,0,0,1,0,2,2,0,0,0,0,0,0,1,1,3,2,1,4,1,5,1,1,2,1,1,4,5,6,8,3,0,1,0,52,54,39,1,3,0,0,2,2,2,1,1,1
514,1,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,5,7,3,2,1,1,2,1,1,0,5,0,7,2,0,1,2,52,54,39,1,3,0,0,0,0,1,1,1,1
516,1,0,0,0,0,0,2,1,0,1,1,2,2,2,2,0,0,0,0,0,1,1,3,0,1,5,4,7,1,1,2,1,1,7,7,8,8,4,0,1,2,15,14,24,1,3,1,1,2,2,1,2,0,1
517,1,0,0,1,0,1,0,1,0,0,1,2,2,3,2,1,0,0,1,1,3,1,2,3,3,7,5,10,1,1,2,1,1,7,7,9,9,4,0,1,4,15,14,40,0,3,1,2,1,1,2,1,0,2
519,1,0,0,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,0,3,0,3,2,0,7,1,3,1,1,1,1,1,8,7,7,5,2,3,0,4,51,53,49,1,3,2,2,2,2,2,2,2,2
521,1,0,0,1,1,0,1,0,3,1,1,2,2,3,0,1,1,1,1,0,2,2,0,0,5,10,5,5,2,3,2,1,1,3,6,7,8,4,1,0,2,52,54,22,1,3,0,0,1,2,1,3,3,1
522,1,0,0,1,0,0,0,1,3,0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,7,5,6,3,1,2,1,1,3,7,3,5,3,3,1,2,52,54,36,1,3,2,2,2,1,2,2,2,2
523,1,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,0,0,1,3,3,0,0,2,4,6,4,6,1,1,2,1,1,5,7,5,5,3,2,0,0,52,54,32,1,3,2,2,2,2,2,2,2,1
525,1,0,0,0,0,1,2,1,1,1,1,1,2,1,0,1,1,1,1,1,2,3,0,2,1,10,2,10,2,3,1,1,1,2,5,7,8,4,1,1,0,52,54,53,1,3,0,0,2,1,1,2,1,1
526,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,2,0,3,1,8,0,7,2,4,1,1,1,3,7,3,7,2,3,0,0,52,54,34,1,3,1,0,1,0,1,2,2,1
528,1,0,0,1,1,1,1,0,1,1,1,0,2,2,0,0,0,0,1,1,3,2,2,0,1,8,4,9,4,3,2,1,1,4,4,5,7,3,2,0,0,52,54,30,1,3,1,2,2,1,2,2,2,2
529,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,2,2,1,1,5,10,1,2,2,4,1,1,1,0,10,5,10,2,0,1,2,52,54,22,0,6,0,0,2,1,1,1,1,1
530,1,0,0,0,0,0,2,1,1,2,1,0,0,2,0,1,1,0,1,1,0,0,0,2,0,8,3,6,2,3,2,1,1,3,3,3,3,2,0,0,0,52,54,27,0,3,2,0,2,1,1,2,1,1
531,1,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,3,3,1,1,5,8,4,6,2,4,1,1,1,3,3,8,7,2,0,0,2,52,54,33,0,3,0,0,1,1,1,2,2,0
532,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,3,1,2,3,0,3,3,3,1,1,2,1,1,2,6,5,4,2,0,1,2,52,54,28,1,3,0,0,2,0,1,2,1,2
533,1,0,0,0,0,0,1,0,3,1,1,0,2,1,0,0,0,1,1,1,0,1,0,3,0,7,4,7,2,1,2,1,1,5,5,5,5,3,0,1,2,52,54,36,1,3,0,0,0,0,2,1,1,2
534,1,0,0,1,1,0,1,0,3,1,1,0,2,2,0,1,0,1,0,2,3,1,0,2,5,10,5,8,1,4,1,1,1,6,10,8,10,3,0,1,4,52,54,25,0,3,1,2,1,1,1,3,3,1
537,1,1,0,0,0,0,1,0,3,2,1,0,0,1,2,1,1,1,1,2,2,1,0,0,1,10,2,9,2,4,2,1,1,0,3,6,9,3,0,1,2,52,54,31,1,3,1,2,1,2,1,2,2,1
539,1,0,0,0,0,1,2,1,0,2,1,0,2,2,0,0,0,0,0,0,1,0,0,2,1,7,5,5,1,1,2,1,1,5,5,5,5,2,0,1,0,52,54,43,1,3,2,2,2,2,2,2,2,1
540,1,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,2,1,0,3,2,3,5,5,4,4,1,0,1,1,2,3,3,6,2,0,1,3,52,54,35,1,3,0,0,0,2,1,1,1,1
542,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,5,4,3,0,1,1,5,5,5,5,5,0,1,2,21,20,28,1,3,0,0,0,0,1,1,1,1
543,1,0,0,0,0,1,1,1,0,0,1,2,2,2,0,0,0,0,0,0,0,1,0,2,4,5,3,7,1,1,2,1,1,5,8,5,7,4,0,0,0,52,54,27,1,3,2,0,2,2,1,2,2,1
544,1,0,0,0,0,0,2,1,0,0,1,0,2,2,0,0,0,0,1,1,1,1,0,2,4,6,2,5,1,1,2,1,1,10,10,8,8,3,2,1,0,52,54,28,1,3,1,1,1,1,1,2,3,2
545,1,0,0,0,1,1,2,2,3,2,1,1,1,1,2,0,0,1,1,3,0,0,0,3,2,4,3,4,4,4,1,1,1,4,9,5,9,3,3,1,0,52,54,43,0,3,2,0,2,0,1,2,2,1
546,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,3,1,3,5,0,4,2,3,2,1,1,0,2,5,8,3,0,1,2,52,54,31,0,3,0,0,2,2,1,1,1,1
547,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,1,0,0,2,3,7,1,5,1,1,1,1,1,2,5,2,5,2,0,1,3,52,54,37,1,3,0,0,1,0,2,2,2,2
548,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,0,0,3,0,9,4,7,2,3,2,1,1,6,9,7,7,2,0,1,0,52,54,36,1,3,2,1,1,1,2,2,2,1
549,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,3,1,0,0,1,8,5,5,2,3,1,1,1,2,8,4,7,1,0,1,3,52,54,42,0,3,2,0,1,1,2,2,1,1
550,1,0,0,0,0,0,1,0,0,2,1,1,1,1,2,0,0,1,1,1,3,1,0,1,1,9,4,7,2,3,1,1,1,1,6,7,8,2,0,1,2,52,54,29,0,4,0,0,2,0,1,1,1,1
551,1,0,0,1,0,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,2,3,1,2,2,10,4,7,2,3,2,1,1,4,6,6,8,3,2,1,0,52,54,41,0,3,0,0,2,0,1,2,2,1
552,1,0,0,0,0,0,2,2,0,0,1,1,2,1,1,1,0,0,1,0,2,0,0,3,0,6,1,7,4,3,1,1,1,5,8,6,7,4,3,1,4,52,54,53,1,3,0,0,1,1,2,2,1,1
553,1,0,0,0,0,1,3,2,2,2,1,0,2,2,0,0,0,0,0,0,1,1,2,3,2,1,0,1,4,0,2,1,1,5,9,0,4,1,0,0,0,52,54,44,1,3,2,0,0,0,1,2,0,1
555,1,0,0,0,0,0,1,0,1,2,1,0,2,1,0,1,1,0,1,1,1,1,3,2,0,7,2,4,2,4,2,1,1,2,4,5,5,3,0,1,0,52,54,57,0,3,2,0,2,2,1,1,1,2
556,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,3,1,2,2,3,2,5,6,0,0,1,1,1,3,4,4,6,3,0,1,0,52,54,47,1,3,0,0,0,1,1,2,2,1
557,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,3,3,0,1,1,9,2,5,1,1,1,1,1,0,5,6,9,2,2,1,4,52,54,34,1,3,1,0,2,1,1,1,1,1
559,1,0,0,1,0,1,2,0,0,0,1,0,2,2,0,1,0,1,1,1,3,0,0,0,0,8,5,6,1,1,1,1,1,3,5,6,6,3,3,1,2,51,53,41,1,3,2,2,1,1,2,2,2,2
560,1,1,0,1,1,1,2,1,1,0,1,0,0,1,2,1,1,1,1,1,2,0,0,3,5,10,5,10,2,4,1,1,1,5,7,4,8,3,3,1,4,52,54,40,1,3,1,2,1,1,2,2,3,2
561,1,0,0,0,0,0,1,0,3,0,1,1,0,1,0,0,1,0,0,3,1,1,2,1,0,2,5,2,1,1,0,1,1,1,1,4,6,2,0,1,2,52,54,30,1,3,2,0,0,1,1,1,1,1
562,2,0,0,0,0,0,1,0,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,5,4,3,1,1,0,2,8,6,8,2,0,1,3,6,7,57,0,3,0,0,0,0,1,1,1,1
564,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,5,9,2,5,1,1,2,1,1,8,8,8,8,1,0,1,2,34,34,34,1,3,0,0,2,0,1,0,1,1
